Entity,Year,Land use per 100g protein
Apples,2010,21
Bananas,2010,21.444445
Beef (beef herd),2010,163.5958
Beef (dairy herd),2010,21.904762
Berries & Grapes,2010,24.1
Brassicas,2010,5
Cassava,2010,20.11111
Cheese,2010,39.759964
Citrus Fruit,2010,14.333333
Coffee,2010,27.025
Dark Chocolate,2010,137.92
Eggs,2010,5.650685
Fish (farmed),2010,3.6877878
Grains,2010,4.6
Groundnuts,2010,3.4797556
Lamb & Mutton,2010,184.81259
Maize,2010,3.0947368
Milk,2010,27.121212
Nuts,2010,7.9363136
Oatmeal,2010,5.8461537
Onions & Leeks,2010,3
Other Pulses,2010,7.2723026
Peas,2010,3.3573358
Pig Meat,2010,10.729296
Potatoes,2010,5.1764708
Poultry Meat,2010,7.055427
Prawns (farmed),2010,2.0108328
Rice,2010,3.943662
Root Vegetables,2010,3.3
Tofu,2010,2.2
Tomatoes,2010,7.2727275
Wheat & Rye,2010,3.1557376