Entity,Year,Freshwater withdrawals per 100g protein
Apples,2010,6003.3335
Bananas,2010,1272.2222
Beef (beef herd),2010,727.7833
Beef (dairy herd),2010,1375.0253
Berries & Grapes,2010,4196
Brassicas,2010,1085.4546
Cheese,2010,2538.587
Citrus Fruit,2010,1378.3334
Coffee,2010,32.375
Dark Chocolate,2010,1081.2
Eggs,2010,520.63806
Fish (farmed),2010,1618.6362
Groundnuts,2010,707.52484
Lamb & Mutton,2010,900.9495
Maize,2010,227.05263
Milk,2010,1903.6364
Nuts,2010,2531.4146
Oatmeal,2010,371.07693
Onions & Leeks,2010,110
Other Pulses,2010,203.50304
Peas,2010,178.48785
Pig Meat,2010,1109.8888
Potatoes,2010,347.64706
Poultry Meat,2010,381.06235
Prawns (farmed),2010,2380.0947
Rice,2010,3166.7605
Root Vegetables,2010,284
Tofu,2010,92.875
Tomatoes,2010,3361.818
Wheat & Rye,2010,530.73773